Sum of Average_Salary,Year,Quarter,Month,Day,Email,Q1 - Which Title Best Fits your Current Role?.1,Sum of Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q5 - Favorite Programming Language.2,Sum of Q6 - How Happy are you in your Current Position with the following? (Coworkers),Sum of Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Sum of Q6 - How Happy are you in your Current Position with the following? (Management),Sum of Q6 - How Happy are you in your Current Position with the following? (Salary),Sum of Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Sum of Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Time Spent,Time Taken (America/New_York),Unique ID
20,2022,Qtr 2,June,10,anonymous,Data Scientist,24,Other,"",Black or African American,Yes,0-40k,Finance,Python,,6,5,6,0,6,6,Difficult,Better Salary,Male,1899-12-30 00:01:15,1899-12-30 08:44:00,62a33cb72e54c9003e531c65
20,2022,Qtr 2,June,10,anonymous,Data Scientist,21,Other,Bachelors,Black or African American,No,0-40k,Tech,R,,7,7,7,2,7,7,Easy,Better Salary,Male,1899-12-30 00:01:27,1899-12-30 14:14:00,62a389ed18134ddc75cf24f8
20,2022,Qtr 2,June,10,anonymous,Data Scientist,23,Other,Bachelors,Other (Please Specify):Indian,Yes,0-40k,Tech,Python,,4,6,0,4,0,4,Difficult,Good Culture,Male,1899-12-30 00:02:04,1899-12-30 13:09:00,62a37ad924a2626027389f8a
20,2022,Qtr 2,June,10,anonymous,Data Scientist,36,Other,Masters,White or Caucasian,Yes,0-40k,Education,Python,,1,6,1,3,1,3,Difficult,Better Salary,Male,1899-12-30 00:01:23,1899-12-30 15:23:00,62a39a340f8c8599d5afc6ce
187.5,2022,Qtr 2,June,10,anonymous,Data Scientist,21,Other,Masters,White or Caucasian,Yes,150k-225k,Finance,Python,,3,4,6,7,4,5,Difficult,Good Work/Life Balance,Male,1899-12-30 00:04:27,1899-12-30 09:44:00,62a34ab15d257a28a30d9589
20,2022,Qtr 2,June,10,anonymous,Other,31,Other,"",White or Caucasian,No,0-40k,Tech,Python,,7,6,7,2,5,9,Difficult,Better Salary,Male,1899-12-30 00:02:28,1899-12-30 08:54:00,62a33f17f8f7561645852867
53,2022,Qtr 2,June,10,anonymous,Other,32,Other,"",White or Caucasian,No,41k-65k,Other,Python,,8,7,8,5,8,10,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:03:54,1899-12-30 08:54:00,62a33f0ef408bae018ed3aeb
20,2022,Qtr 2,June,10,anonymous,Other,24,Other,Bachelors,Hispanic or Latino,No,0-40k,Tech,Python,,6,4,6,5,6,6,Easy,Better Salary,Male,1899-12-30 00:02:51,1899-12-30 09:58:00,62a34e082e54c9003e534118
75.5,2022,Qtr 2,June,10,anonymous,Other,35,Other,Bachelors,Hispanic or Latino,Yes,66k-85k,Other,Python,,9,9,8,7,8,9,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:29,1899-12-30 09:27:00,62a346d724a2626027383abd
53,2022,Qtr 2,June,10,anonymous,Other,28,Other,Bachelors,White or Caucasian,Yes,41k-65k,Tech,Python,,4,8,3,6,9,7,Difficult,Better Salary,Male,1899-12-30 00:04:03,1899-12-30 09:12:00,62a34340bc6861bf3176d05b
53,2022,Qtr 2,June,10,anonymous,Other,43,Other,High School,Asian or Asian American,No,41k-65k,Tech,C/C++,,7,7,7,7,7,7,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:57,1899-12-30 18:38:00,62a3c7f1bc6861bf3177b06e
20,2022,Qtr 2,June,10,anonymous,Other,20,Other,High School,Black or African American,Yes,0-40k,Other,Other,SQL,3,4,3,0,4,3,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:02:00,1899-12-30 18:05:00,62a3c021f8f756164586043f
20,2022,Qtr 2,June,10,anonymous,Other,32,Other,Masters,White or Caucasian,No,0-40k,Finance,Python,,3,4,7,6,2,6,Very Difficult,Other (Please Specify):Learning opportunity,Male,1899-12-30 00:02:02,1899-12-30 19:04:00,62a3cde8f8f7561645861366
20,2022,Qtr 2,June,10,anonymous,Other,35,Other,Masters,White or Caucasian,No,0-40k,Other,Python,,5,1,3,2,1,4,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:02:47,1899-12-30 14:14:00,62a38a060a77c1a77f6654b7
53,2022,Qtr 2,June,10,anonymous,Other,35,Other,Masters,White or Caucasian,No,41k-65k,Healthcare,Python,,8,10,8,6,8,8,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:02:24,1899-12-30 15:25:00,62a39a95bc6861bf3177751d
53,2022,Qtr 2,June,10,anonymous,Other,38,Other,Masters,White or Caucasian,Yes,41k-65k,Other,Python,,8,7,7,6,9,8,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:04,1899-12-30 09:08:00,62a3424eb4da29969c62eedd
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,23,Other,"",Asian or Asian American,Yes,0-40k,Education,Python,,3,6,5,5,2,5,Difficult,Better Salary,Male,1899-12-30 00:01:11,1899-12-30 08:59:00,62a34020575fa3a5ae88ade0
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,23,Other,"",Other (Please Specify):African,Yes,0-40k,Other,R,,5,0,0,0,0,0,Very Difficult,Remote Work,Female,1899-12-30 00:01:34,1899-12-30 08:52:00,62a33e90cec54911e9ca5031
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,30,Other,"","Other (Please Specify):Black African, Zimbabwean Citizen",Yes,0-40k,Other,Other,"If SQL is categorised as a programming language then I will definitely say SQL. Since I am still learning, I can't give a definite answer in relation to the abover mentioned but for the sake of choosing I will say R then followed by python",,7,,,,,Very Easy,Other (Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,1899-12-30 00:08:11,1899-12-30 09:05:00,62a341a1f3072dd8926229a5
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,23,Other,"",Other (Please Specify):Kenyan African,Yes,0-40k,Construction,Python,,0,0,0,0,0,0,Very Difficult,Better Salary,Male,1899-12-30 00:02:39,1899-12-30 08:58:00,62a34006d8c00e9f5419d341
53,2022,Qtr 2,June,10,anonymous,Student/Looking/None,43,Other,"",White or Caucasian,No,41k-65k,Telecommunication,Python,,3,3,4,3,0,1,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:32,1899-12-30 08:57:00,62a33fcf18134ddc75ce91c3
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,42,Other,Associates,White or Caucasian,No,0-40k,Tech,Python,,6,0,7,3,0,7,Difficult,Better Salary,Male,1899-12-30 00:01:39,1899-12-30 10:50:00,62a35a2c7dc029e2d66c2519
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,24,Other,Bachelors,Asian or Asian American,No,0-40k,Other,Other,,7,10,8,7,8,9,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:55,1899-12-30 09:39:00,62a3498e575fa3a5ae88c554
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,24,Other,Bachelors,Black or African American,Yes,0-40k,Construction,Python,,0,2,1,0,1,2,Very Difficult,Remote Work,Female,1899-12-30 00:01:40,1899-12-30 14:09:00,62a388d524a262602738b869
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,23,Other,Bachelors,Black or African American,Yes,0-40k,Finance,Python,,,10,8,,10,,Easy,Remote Work,Male,1899-12-30 00:01:42,1899-12-30 18:51:00,62a3cafff8d5efcc22f8b5cb
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,25,Other,Bachelors,Black or African American,Yes,0-40k,Other,Python,,0,4,0,0,0,0,Very Difficult,Better Salary,Female,1899-12-30 00:01:57,1899-12-30 21:23:00,62a3eea9bae91e4b8b8401a4
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,36,Other,Bachelors,Black or African American,Yes,0-40k,Other,R,,6,9,6,1,6,3,Difficult,Remote Work,Male,1899-12-30 00:01:59,1899-12-30 09:03:00,62a34117cec54911e9ca54e7
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,26,Other,Bachelors,Black or African American,Yes,0-40k,Tech,Other,SQL,3,6,3,2,3,3,Very Difficult,Better Salary,Male,1899-12-30 00:01:32,1899-12-30 09:19:00,62a344e1f3072dd892623328
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,29,Other,Bachelors,Other (Please Specify):Russian,Yes,0-40k,Other,R,,10,3,10,2,10,10,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:04:30,1899-12-30 18:30:00,62a3c5f2cec54911e9cb3d9b
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,25,Other,Bachelors,White or Caucasian,No,0-40k,Other,Python,,0,5,0,0,0,0,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:19,1899-12-30 09:45:00,62a34b07cec54911e9ca6b6e
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,20,Other,High School,Asian or Asian American,No,0-40k,Other,Other,SQL,0,0,0,0,0,0,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:00:59,1899-12-30 21:58:00,62a3f6d9bae91e4b8b8408ca
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,34,Other,High School,Black or African American,No,0-40k,Real Estate,R,,0,0,0,0,0,5,Very Difficult,Remote Work,Male,1899-12-30 00:01:33,1899-12-30 16:38:00,62a3abacd8c00e9f541a96eb
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,21,Other,High School,White or Caucasian,No,0-40k,Other,JavaScript,,0,10,0,0,0,0,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:44,1899-12-30 14:42:00,62a3907cbae91e4b8b838917
53,2022,Qtr 2,June,10,anonymous,Student/Looking/None,25,Other,Masters,Asian or Asian American,Yes,41k-65k,Tech,Python,,6,6,6,6,6,6,Easy,Good Culture,Male,1899-12-30 00:01:06,1899-12-30 09:35:00,62a3489318134ddc75cea659
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,25,Other,Masters,White or Caucasian,No,0-40k,Education,R,,4,5,4,5,5,4,Difficult,Good Work/Life Balance,Male,1899-12-30 00:00:59,1899-12-30 12:16:00,62a36e7024a262602738890a
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,24,Other,Masters,White or Caucasian,No,0-40k,Tech,Python,,7,8,6,0,7,4,Easy,Other (Please Specify):Learning possibilities,Male,1899-12-30 00:02:58,1899-12-30 12:10:00,62a36d12f8d5efcc22f82cd8
53,2022,Qtr 2,June,10,anonymous,Student/Looking/None,32,Other,Masters,White or Caucasian,No,41k-65k,Construction,Other,Excel,10,10,10,10,4,4,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:08,1899-12-30 11:18:00,62a360dbd8c00e9f541a16cf
20,2022,Qtr 2,June,11,anonymous,Data Analyst,24,Other,Associates,Black or African American,No,0-40k,Education,Python,,0,10,9,0,5,10,Easy,Remote Work,Male,1899-12-30 00:02:39,1899-12-30 01:36:00,62a429f0f3072dd892636396
20,2022,Qtr 2,June,11,anonymous,Data Analyst,45,Other,Associates,White or Caucasian,Yes,0-40k,Other,Other,SQL,8,4,4,,8,5,Easy,Good Culture,Male,1899-12-30 00:02:27,1899-12-30 10:38:00,62a4a8cb0a77c1a77f67a405
20,2022,Qtr 2,June,11,anonymous,Data Analyst,28,Other,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,5,6,5,5,5,5,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:53,1899-12-30 08:14:00,62a487167dc029e2d66da73e
20,2022,Qtr 2,June,11,anonymous,Data Analyst,25,Other,Bachelors,Black or African American,Yes,0-40k,Healthcare,Python,,8,6,5,5,5,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:55,1899-12-30 06:11:00,62a46a66f8d5efcc22f95a7a
20,2022,Qtr 2,June,11,anonymous,Data Analyst,28,Other,Bachelors,Black or African American,Yes,0-40k,Healthcare,Python,,5,8,1,1,7,8,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:33,1899-12-30 03:05:00,62a43ed4f8d5efcc22f92d0a
20,2022,Qtr 2,June,11,anonymous,Data Analyst,28,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Telecommunication,Python,,5,2,5,0,2,8,Easy,Better Salary,Male,1899-12-30 00:02:06,1899-12-30 09:02:00,62a4926ef408bae018eef4ee
95.5,2022,Qtr 2,June,11,anonymous,Data Analyst,31,Other,Bachelors,Hispanic or Latino,Yes,86k-105k,Healthcare,Python,,6,5,10,10,7,8,Neither easy nor difficult,Good Culture,Female,1899-12-30 00:01:30,1899-12-30 08:18:00,62a488197dc029e2d66da8a1
20,2022,Qtr 2,June,11,anonymous,Data Analyst,24,Other,Bachelors,Other (Please Specify):African,Yes,0-40k,Tech,Python,,4,10,5,5,7,4,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:38,1899-12-30 16:52:00,62a5008c5d257a28a30fbde5
20,2022,Qtr 2,June,11,anonymous,Data Analyst,36,Other,Bachelors,Other (Please Specify):Arab,Yes,0-40k,Agriculture,Python,,3,4,3,2,3,1,Difficult,Better Salary,Male,1899-12-30 00:03:25,1899-12-30 19:30:00,62a525aff8f75616458784dd
53,2022,Qtr 2,June,11,anonymous,Data Analyst,32,Other,Bachelors,Other (Please Specify):Sudanese African,Yes,41k-65k,Healthcare,Other,Sql &  plsql,,6,,,,,Easy,Good Work/Life Balance,Male,1899-12-30 00:09:42,1899-12-30 19:32:00,62a52629b4da29969c654a94
20,2022,Qtr 2,June,11,anonymous,Data Analyst,23,Other,Bachelors,White or Caucasian,No,0-40k,Healthcare,Python,,4,6,6,1,5,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:21,1899-12-30 19:06:00,62a51fe0575fa3a5ae8b0c06
20,2022,Qtr 2,June,11,anonymous,Data Analyst,24,Other,Bachelors,White or Caucasian,Yes,0-40k,Finance,Python,,5,10,5,5,5,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:41,1899-12-30 00:46:00,62a41e23bc6861bf3177fffb
20,2022,Qtr 2,June,11,anonymous,Data Analyst,19,Other,High School,Asian or Asian American,Yes,0-40k,Tech,Python,,,5,,,,,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:03:23,1899-12-30 02:32:00,62a436fd24a2626027397c93
20,2022,Qtr 2,June,11,anonymous,Data Analyst,25,Other,High School,Other (Please Specify):Indian,No,0-40k,Finance,Python,,4,10,10,1,10,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:03:17,1899-12-30 18:57:00,62a51dc6575fa3a5ae8b09f3
187.5,2022,Qtr 2,June,11,anonymous,Data Analyst,30,Other,High School,White or Caucasian,Yes,150k-225k,Education,Python,,5,7,4,8,7,7,Easy,Remote Work,Male,1899-12-30 10:34:43,1899-12-30 14:54:00,62a4e4c90f8c8599d5b13d8f
20,2022,Qtr 2,June,11,anonymous,Data Analyst,31,Other,Masters,Asian or Asian American,No,0-40k,Tech,Python,,5,6,5,3,6,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:56,1899-12-30 14:47:00,62a4e34d7dc029e2d66e10b9
53,2022,Qtr 2,June,11,anonymous,Data Analyst,29,Other,Masters,Black or African American,No,41k-65k,Other,Python,,9,9,9,7,4,5,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:02:40,1899-12-30 16:42:00,62a4fe370f8c8599d5b158c4
20,2022,Qtr 2,June,11,anonymous,Data Analyst,27,Other,Masters,Black or African American,Yes,0-40k,Healthcare,Python,,2,3,1,0,0,1,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:04:48,1899-12-30 07:00:00,62a475dcf408bae018eed15c
20,2022,Qtr 2,June,11,anonymous,Data Analyst,30,Other,Masters,Black or African American,Yes,0-40k,Tech,Python,,5,2,5,3,5,5,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:03:20,1899-12-30 01:24:00,62a427190a77c1a77f67095c
20,2022,Qtr 2,June,11,anonymous,Data Analyst,30,Other,Masters,Other (Please Specify):Moroccan,No,0-40k,Other,R,,2,3,3,4,2,10,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:06,1899-12-30 13:59:00,62a4d7f6bae91e4b8b84ffed
53,2022,Qtr 2,June,11,anonymous,Data Analyst,27,Other,Masters,White or Caucasian,No,41k-65k,Other,Python,,3,4,5,9,2,8,Easy,Better Salary,Male,1899-12-30 00:01:39,1899-12-30 12:42:00,62a4c6060a77c1a77f67c772
115.5,2022,Qtr 2,June,11,anonymous,Data Analyst,30,Other,Masters,White or Caucasian,Yes,106k-125k,Other,R,,9,8,7,8,8,9,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:43,1899-12-30 08:52:00,62a49012f408bae018eef16d
53,2022,Qtr 2,June,11,anonymous,Data Analyst,31,Other,Masters,White or Caucasian,Yes,41k-65k,Tech,Python,,4,6,5,3,3,5,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:01:52,1899-12-30 09:52:00,62a49e087dc029e2d66dc57e
95.5,2022,Qtr 2,June,11,anonymous,Data Analyst,53,Other,PhD,White or Caucasian,Yes,86k-105k,Healthcare,Other,DAX,6,4,5,6,4,6,Easy,Remote Work,Male,1899-12-30 00:03:26,1899-12-30 18:43:00,62a51aaacec54911e9cca93b
20,2022,Qtr 2,June,11,anonymous,Data Engineer,29,Other,Bachelors,Black or African American,Yes,0-40k,Finance,Python,,3,4,3,3,3,3,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:47,1899-12-30 05:25:00,62a45f8c0f8c8599d5b09d40
20,2022,Qtr 2,June,11,anonymous,Data Engineer,28,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Tech,Python,,8,7,6,0,5,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:36,1899-12-30 13:30:00,62a4d13bbae91e4b8b84f89b
20,2022,Qtr 2,June,11,anonymous,Other,27,Other,Bachelors,White or Caucasian,Yes,0-40k,Other,Python,,5,3,3,3,2,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:29,1899-12-30 01:02:00,62a421cebc6861bf317803f5
20,2022,Qtr 2,June,11,anonymous,Other,37,Other,Masters,Other (Please Specify):African,No,0-40k,Construction,R,,1,1,3,0,2,0,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:03:13,1899-12-30 06:13:00,62a46ad7d8c00e9f541b664a
20,2022,Qtr 2,June,11,anonymous,Other,26,Other,Masters,White or Caucasian,No,0-40k,Tech,R,,2,10,8,2,9,5,Difficult,Remote Work,Male,1899-12-30 00:01:22,1899-12-30 08:40:00,62a48d562e54c9003e54ea2b
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,25,Other,Bachelors,Asian or Asian American,No,0-40k,Other,Python,,0,0,0,0,0,0,Very Difficult,Remote Work,Male,1899-12-30 00:01:37,1899-12-30 01:04:00,62a42243f8d5efcc22f90c55
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,24,Other,Bachelors,Black or African American,No,0-40k,Tech,Python,,3,3,3,0,2,2,Easy,Good Work/Life Balance,Female,1899-12-30 00:02:01,1899-12-30 09:17:00,62a495d724a262602739ee07
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,41,Other,Bachelors,Hispanic or Latino,No,0-40k,Other,R,,3,0,0,0,0,1,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:30,1899-12-30 07:38:00,62a47ea87dc029e2d66d9b60
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,24,Other,Bachelors,White or Caucasian,Yes,0-40k,Other,R,,7,4,6,3,4,6,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:32,1899-12-30 07:37:00,62a47e812e54c9003e54d789
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,42,Other,Masters,Black or African American,Yes,0-40k,Other,R,,2,4,3,0,3,2,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:05:09,1899-12-30 18:30:00,62a5177d18134ddc75d0e9d8
20,2022,Qtr 2,June,12,anonymous,Data Analyst,25,Other,Bachelors,Black or African American,Yes,0-40k,Education,Python,,2,3,3,2,4,1,Difficult,Remote Work,Male,1899-12-30 00:03:44,1899-12-30 07:16:00,62a5cb12cf25554317330d69
53,2022,Qtr 2,June,12,anonymous,Data Analyst,32,Other,Bachelors,White or Caucasian,Yes,41k-65k,Tech,Python,,3,8,2,5,4,8,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:01:57,1899-12-30 07:51:00,62a5d350f3072dd892652c70
20,2022,Qtr 2,June,12,anonymous,Data Analyst,26,Other,High School,Black or African American,No,0-40k,Real Estate,R,,8,9,6,3,6,7,Difficult,Remote Work,Male,1899-12-30 00:03:50,1899-12-30 16:23:00,62a64b4dd8c00e9f541d6d81
20,2022,Qtr 2,June,12,anonymous,Data Analyst,25,Other,High School,Black or African American,Yes,0-40k,Tech,Python,,4,3,3,3,3,2,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:46,1899-12-30 13:37:00,62a6246df3072dd892659218
20,2022,Qtr 2,June,12,anonymous,Data Analyst,28,Other,Masters,Hispanic or Latino,Yes,0-40k,Healthcare,Python,,9,9,6,8,8,10,Easy,Remote Work,Female,1899-12-30 00:01:42,1899-12-30 11:43:00,62a609b8f8f75616458875b7
53,2022,Qtr 2,June,12,anonymous,Data Analyst,34,Other,Masters,White or Caucasian,Yes,41k-65k,Healthcare,Python,,8,10,8,8,5,5,Difficult,Remote Work,Female,1899-12-30 00:01:31,1899-12-30 02:52:00,62a58d20575fa3a5ae8b6969
20,2022,Qtr 2,June,12,anonymous,Other,30,Other,Bachelors,Hispanic or Latino,Yes,0-40k,Other,Python,,10,10,10,1,8,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:37,1899-12-30 19:30:00,62a6772c18134ddc75d25895
20,2022,Qtr 2,June,12,anonymous,Other,48,Other,Masters,Other (Please Specify):Melayu,Yes,0-40k,Other,Python,,3,2,2,3,2,3,Very Easy,Good Work/Life Balance,Male,1899-12-30 00:04:36,1899-12-30 21:13:00,62a68f1e0a77c1a77f69a381
20,2022,Qtr 2,June,12,anonymous,Other,27,Other,Masters,White or Caucasian,Yes,0-40k,Tech,Python,,8,7,8,7,8,8,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:01:58,1899-12-30 03:45:00,62a5998fbc6861bf31798ef0
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,30,Other,Associates,Other (Please Specify):African,No,0-40k,Education,R,,2,3,1,1,0,1,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:03:34,1899-12-30 03:59:00,62a59cd2cec54911e9cd251a
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,27,Other,Bachelors,Black or African American,No,0-40k,Education,Python,,3,8,0,0,0,0,Difficult,Better Salary,Male,1899-12-30 00:01:57,1899-12-30 12:36:00,62a615fd18134ddc75d1f1fa
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,40,Other,Bachelors,Black or African American,Yes,0-40k,Finance,R,,4,6,4,4,5,5,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:01:49,1899-12-30 15:09:00,62a639e05d257a28a3110ef5
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,27,Other,Bachelors,White or Caucasian,No,0-40k,Education,Python,,5,4,5,2,2,5,Difficult,Better Salary,Male,1899-12-30 00:01:20,1899-12-30 03:03:00,62a58faf2e54c9003e55ef2e
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,33,Other,Bachelors,White or Caucasian,Yes,0-40k,Finance,Other,SQL,10,4,10,7,3,9,Easy,Remote Work,Male,1899-12-30 00:10:34,1899-12-30 14:33:00,62a631782e54c9003e56ac36
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,47,Other,Bachelors,White or Caucasian,Yes,0-40k,Real Estate,Python,,3,6,3,0,3,3,Difficult,Good Work/Life Balance,Male,1899-12-30 00:02:42,1899-12-30 08:25:00,62a5db29cf2555431733248f
75.5,2022,Qtr 2,June,13,anonymous,Data Analyst,30,Other,Bachelors,Asian or Asian American,Yes,66k-85k,Finance,Python,,4,6,4,4,4,3,Very Difficult,Better Salary,Male,1899-12-30 00:02:04,1899-12-30 21:22:00,62a7e2d024a26260273e4448
53,2022,Qtr 2,June,13,anonymous,Data Analyst,32,Other,Bachelors,Black or African American,No,41k-65k,Other,Other,SQL,6,3,2,5,2,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:01,1899-12-30 12:57:00,62a76c962e54c9003e588661
20,2022,Qtr 2,June,13,anonymous,Data Analyst,26,Other,Bachelors,Black or African American,Yes,0-40k,Healthcare,R,,4,5,3,2,3,3,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:57,1899-12-30 17:56:00,62a7b283f8d5efcc22fdc189
20,2022,Qtr 2,June,13,anonymous,Data Analyst,25,Other,Bachelors,White or Caucasian,Yes,0-40k,Healthcare,Python,,5,5,5,3,4,4,Difficult,Good Work/Life Balance,Male,1899-12-30 00:02:42,1899-12-30 16:22:00,62a79c9c2e54c9003e58f0d5
20,2022,Qtr 2,June,13,anonymous,Data Analyst,25,Other,Bachelors,White or Caucasian,Yes,0-40k,Other,Python,,9,10,9,6,10,6,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:00:50,1899-12-30 17:48:00,62a7b0ae0f8c8599d5b51cd0
20,2022,Qtr 2,June,13,anonymous,Data Analyst,30,Other,Masters,Other (Please Specify):Asian,Yes,0-40k,Tech,Python,,0,0,1,0,0,3,Easy,Good Culture,Female,1899-12-30 00:01:50,1899-12-30 05:33:00,62a7047c24a26260273c9646
20,2022,Qtr 2,June,13,anonymous,Data Analyst,35,Other,Masters,White or Caucasian,Yes,0-40k,Other,Python,,5,4,2,4,4,2,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:02:49,1899-12-30 06:03:00,62a70b55cec54911e9cedd98
20,2022,Qtr 2,June,13,anonymous,Data Analyst,32,Other,Masters,White or Caucasian,Yes,0-40k,Other,Python,,7,8,7,5,7,5,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:03:29,1899-12-30 05:25:00,62a7029ff8f7561645899bae
53,2022,Qtr 2,June,13,anonymous,Data Scientist,30,Other,Bachelors,Asian or Asian American,Yes,41k-65k,Finance,Python,,7,7,4,5,5,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:04:45,1899-12-30 03:40:00,62a6ea03d8c00e9f541e3594
20,2022,Qtr 2,June,13,anonymous,Other,35,Other,Bachelors,White or Caucasian,No,0-40k,Telecommunication,Python,,2,0,0,4,0,3,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:52,1899-12-30 13:24:00,62a772da575fa3a5ae8e2a4a
20,2022,Qtr 2,June,13,anonymous,Student/Looking/None,24,Other,Bachelors,Other (Please Specify):African,No,0-40k,Finance,Python,,6,10,7,8,8,7,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:45,1899-12-30 11:30:00,62a758185d257a28a312bc94
20,2022,Qtr 2,June,13,anonymous,Student/Looking/None,25,Other,Bachelors,White or Caucasian,Yes,0-40k,Finance,Python,,9,8,7,8,8,9,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:33,1899-12-30 15:25:00,62a78f3bf408bae018f2ef51
